0.39456    0.220777   0.220779 
0.39456    0.220777   0.220779 
0.4001    0.21885   0.223249 
0.40564    0.217463   0.226211 
0.41118    0.216637   0.229649 
0.41671    0.216381   0.233534 
0.42225    0.216696   0.237833 
0.42779    0.217584   0.24252 
0.43333    0.219032   0.247556 
0.43887    0.221027   0.25291 
0.44441    0.223549   0.25855 
0.44994    0.226579   0.264455 
0.45548    0.230085   0.270589 
0.46102    0.234039   0.276923 
0.46656    0.238408   0.283431 
0.4721    0.243157   0.290086 
