0.27101    0.251649   0.267802 
0.275    0.249714   0.265558 
0.27898    0.247817   0.263334 
0.28297    0.245961   0.261131 
0.28695    0.244147   0.258954 
0.29094    0.242379   0.256804 
0.29492    0.240657   0.254681 
0.29891    0.238987   0.252595 
0.30289    0.237371   0.250544 
0.30688    0.23581   0.248534 
0.31087    0.234312   0.246571 
0.31485    0.232866   0.244639 
0.31884    0.231491   0.242768 
0.32282    0.230183   0.24095 
0.32681    0.228944   0.239187 
0.33079    0.227778   0.237484 
0.33478    0.226686   0.235844 
0.33876    0.225675   0.234274 
0.34275    0.224741   0.23277 
0.34673    0.223891   0.231338 
0.35072    0.223125   0.229983 
0.35471    0.222446   0.228706 
0.35869    0.221853   0.227507 
0.36268    0.22135   0.226392 
0.36666    0.220945   0.22537 
0.37065    0.220632   0.224434 
0.37463    0.220416   0.223591 
0.37862    0.220288   0.22283 
0.3826    0.220264   0.222173 
0.38659    0.220338   0.221611 
0.39057    0.22051   0.221146 
0.39456    0.220777   0.220779 
